"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043202","lysosomal lumen","32/4332","95/19717",0.00567663360332847,0.0334877377684726,0.0254765277995158,"1634/972/8635/3074/410/4125/356/2331/6385/4958/950/11081/2638/2719/196463/176/913/1520/6609/1200/27065/6383/10855/1464/2629/2262/375790/2760/5660/221914/10437/81567",32
"GO:0034774","secretory granule lumen","90/4332","321/19717",0.00590210603367976,0.0345500207048484,0.0262846827410839,"2268/26/4057/240/8635/7414/3074/2950/10075/4069/7018/350/201294/7042/51816/7078/1727/410/5155/5267/10916/5611/23406/83716/29108/1512/4125/7040/3614/5054/1075/51411/5777/6678/3827/3273/25801/317/1/5340/64333/1621/5199/84766/81/9535/1116/1118/272/2922/1794/28988/6727/351/3608/197/51316/78991/2934/79980/83706/226/7424/51571/3101/4332/213/5702/567/5049/126014/2266/2243/2244/1521/10855/5707/3728/23526/302/2157/387263/2760/1778/5265/1675/7114/5005/5004/81567",90
"GO:0000922","spindle pole","50/4332","164/19717",0.00674507133889243,0.0391832006786041,0.0298094755836949,"10460/259282/54908/259266/54820/284403/8556/6790/22974/23331/51199/2010/56271/8766/5516/9094/4751/1063/4033/10783/10426/51119/9787/55112/79000/85378/151648/9113/93323/891/79768/26586/3832/9585/79998/91272/79980/26524/1780/11073/4085/5347/2801/83473/10636/150468/9212/9735/1639/23636",50
"GO:0030427","site of polarized growth","53/4332","176/19717",0.00708081821861639,0.0408219898815687,0.0310562202570894,"3675/6792/84062/5923/22859/393/51199/79784/23242/7531/867/10094/1627/3676/85440/23046/149371/23307/2185/57616/9479/4035/57580/23022/4131/28988/10006/9585/23162/351/55811/91653/6622/57451/56288/2823/5800/7402/1525/118813/7074/81544/27185/114787/10540/8851/3059/5101/57698/51393/120892/4644/1500",53
"GO:0030175","filopodium","34/4332","104/19717",0.00746709529679915,0.0427252595553695,0.0325041742242939,"3675/50619/2195/2683/84687/9368/9750/3936/64005/57471/10006/351/4651/57451/4478/3688/2823/7402/1525/70/72/84168/65059/1605/374403/10458/221178/4771/57698/10123/1778/4644/3135/3690",34
"GO:0014069","postsynaptic density","90/4332","324/19717",0.00770694457573287,0.0433022419400581,0.0329431261733619,"6792/2534/84062/4134/9454/5662/8537/5590/8514/22859/119/27091/25978/4897/79953/2906/2901/23413/8777/8787/84687/1410/10486/1627/85461/6711/57142/6801/53335/9419/2185/1948/79414/5582/3188/57622/135/9026/80758/4131/1131/4038/5025/2045/10505/28988/10006/9746/409/50488/3756/375/8525/3708/5800/1814/9456/2890/7074/27020/9162/2039/2035/29/2905/27185/476/134/1128/10636/5621/10458/8851/25945/2066/9495/575/27445/613/1630/9863/339451/9228/1500/116443/9867/388135/440829/4067/140735",90
"GO:0030126","COPI vesicle coat","8/4332","15/19717",0.00773863982108792,0.0433022419400581,0.0329431261733619,"51226/372/22818/1314/51014/23423/9276/26286",8
"GO:0045120","pronucleus","8/4332","15/19717",0.00773863982108792,0.0433022419400581,0.0329431261733619,"8726/6790/2146/6908/1063/89869/890/200424",8
"GO:0062023","collagen-containing extracellular matrix","110/4332","406/19717",0.00798453592363749,0.0440962206497153,0.0335471628153308,"1634/7869/4653/3909/3697/2155/1301/2192/50939/1310/1307/8425/350/151887/7042/4670/7078/5155/1690/4318/25878/2158/1512/3574/7040/7472/5054/1075/7007/345/6678/3827/3273/1294/2202/7143/64175/4053/1/2331/5340/5199/5858/4958/83854/4147/325/27299/8728/3915/4856/8482/83729/5046/79748/81794/3068/2312/197/2719/3698/9510/9508/176/9507/4146/1520/3490/2199/308/285613/6469/2200/7184/89797/3965/6383/5272/2266/2243/2244/3960/3913/131578/30008/79812/1605/4485/1464/127435/977/811/2262/2147/439921/389084/302/4059/1282/79875/346007/375790/84570/5265/1288/5660/6277/221914/5005/5004",110
"GO:0044305","calyx of Held","11/4332","24/19717",0.00799642371834522,0.0440962206497153,0.0335471628153308,"793/23413/5582/3351/127262/134/5579/3738/3737/10497/6453",11
"GO:0099091","postsynaptic specialization, intracellular component","10/4332","21/19717",0.00819391852086419,0.0448602301753788,0.0341283997461212,"6792/2534/5662/80758/29/10458/7525/613/1500/4067",10
"GO:0030669","clathrin-coated endocytic vesicle membrane","17/4332","44/19717",0.00907338230827943,0.0493203138328617,0.0375215057861179,"163/928/972/2060/23149/9026/1213/2209/1173/4920/3119/161/3123/3117/3122/3115/3113",17
